股票代码,统计日期,营业总收入,营业收入,营业总成本,营业成本,税金及附加,销售费用,管理费用,财务费用,资产减值损失,投资收益,营业利润,营业外收入,营业外支出,利润总额,所得税,净利润,归属于母公司所有者的净利润,综合收益总额,归属于母公司普通股东综合收益总额
2785,2016/9/30,548641613.3,548641613.3,526101955.7,413596406.2,2135548.09,52578898.39,37075582.17,13427724.41,7287796.48,2151355.69,26152475.45,242770.22,413621.33,25981624.34,8596641.98,17384982.36,14928111.57,18351485.04,15711416.6
2785,2016/12/31,873443922.2,873443922.2,842214288.8,674443767,4942933.17,64565724.72,55318592.34,18133218.01,24810053.48,1746480.74,36762714.93,3547692.85,1092721.31,39217686.47,11094834.61,28122851.86,23085337.01,30044730.52,24605601.9
300003,2015/3/31,629096324.5,629096324.5,463612713.4,298956770.3,6586914.72,82758265.65,71215493.29,1395101.5,2700168,1780600.57,167264211.7,5002808.31,199942.1,172067077.9,28358956.79,143708121.1,128447025.7,142163202.1,126902106.7
300003,2015/6/30,1332018312,1332018312,978051749.1,618590867.9,13870832.3,183805012.3,142035496.8,7361747.03,12387792.86,3835814.26,357802377.1,23019190.53,1155844.65,379665723,56228479.78,323437243.2,288037210.9,322240004.6,286839972.3
300003,2015/9/30,1974967122,1974967122,1464904914,899059061.1,20737847.27,288149156.4,222572613.7,23570988.38,10815247.06,5599723.64,524172826.4,29249069.64,1336749.71,552085146.3,80105699.56,471979446.8,415619790.2,471139276.8,414779620.2
300003,2015/12/31,2768717464,2768717464,2093489453,1236936593,30717993.96,432171024.1,347339497.2,29494802.3,16829542.82,8807334.07,684035344.6,21260562.82,4356010.11,700939897.3,104948858.2,595991039.1,520890606.6,594160211.2,519603182.4
300003,2016/3/31,798731779.9,798731779.9,582230310.1,335279437.9,8101904.56,120579884,102514721.3,10053405.42,5700956.96,2454803.63,218956273.4,8173136.32,416797.28,226712612.4,37183598.6,189529013.8,176861680.4,189951887.6,177166648.5
300003,2016/6/30,1675949657,1675949657,1205007938,668314039,18130866.67,272780210.9,217811016,18324919.84,9646885.31,3449255.54,474390974.4,12667329.12,948126.78,486110176.8,77785058.77,408325118,377454382.3,409091870.5,378092140.8
300003,2016/9/30,2524522144,2524522144,1836325455,996432426.4,27884609.39,434435603.6,328652272.7,36461134.64,12459408.25,1911219.96,690107908.8,19254807.71,1477601.94,707885114.6,116579505.3,591305609.3,543512050,693361035,645396002
300003,2016/12/31,3467748234,3467748234,2601321150,1354140999,48623295.26,638057460.2,476543109.6,57420425.32,26535860.84,-2212300.07,864214783.3,29916774.48,3168962.43,890962595.4,144254555,746708040.4,679255737.6,832251018.1,764113721.2
