股票代码,统计日期,货币资金,应收账款,预付账款,其他应收款,存货,流动资产合计,固定资产,无形资产,非流动资产合计,资产总计,应付账款,预收账款,应付职工薪酬,应交税费,其他应付款,流动负债合计,非流动负债合计,负债合计,实收资本（股本）,资本公积,盈余公积,归属于母公司所有者权益合计,所有者权益合计,负债及股东权益总计,流动资产/流动负债,有形资产/总资产
62,2015/9/30,869719257.8,29760402.28,72434772.42,48466374.07,493457164.1,1530209493,384464009.9,192741228.4,2500431042,4030640535,266087859.4,248679253.4,10762524.34,113893106.7,195559229.6,876697409.2,620025342.4,1496722752,666949797,263659.82,222018961.3,2463997105,2533917784,4030640535,1.745424906,0.475029586
62,2015/12/31,1344121548,695557782.5,113113161.8,35970066.84,754347869.4,2995708745,379355838.6,200309221,3186651567,6182360312,284468014.6,243279554.4,46093394.19,169789068.1,514629729.1,1844576228,658842799.2,2503419027,721316774,965023605.4,249162680.8,3603894513,3678941285,6182360312,1.624063403,0.545918454
62,2016/3/31,1029235324,669701076.6,140455628.1,40863100.06,775935482.9,2728200092,352145142.6,188608741.7,3176649421,5904849514,253680637.4,208219152.6,29143077.27,158919722.8,380707273.1,1506062533,661133274,2167195807,721316774,968002388.1,249162680.8,3659160867,3737653707,5904849514,1.811478629,0.521663631
62,2016/6/30,803916484.9,772631196.7,149777482.8,46400238.27,951975900.9,2807169972,346978229,186590501,3165921677,5973091648,233290922.7,234474946.6,40141501.53,160220003.9,187951244.9,1798211675,432046050.3,2230257725,721316774,967763315.3,249162680.8,3662428602,3742833923,5973091648,1.561089837,0.528059569
62,2016/9/30,1006337475,962522042.7,278009550.6,37489616.92,873313333.4,3247099492,334306951.7,180843239.9,3179266474,6426365966,200018355,292351477.2,50721367.74,181141719.3,193867759.4,2089504092,451597968,2541102060,721316774,967763315.3,249162680.8,3806373974,3885263906,6426365966,1.554004849,0.557298863
62,2016/12/31,1013665410,1082166360,271490673.3,52691191.28,1175677744,3725609687,328693381.8,178899989.6,3197035461,6922645147,173739809.3,284251189.5,71376395.56,155282481.4,191540857,2362874824,477682007.9,2840556831,721316774,971641434.3,270989636.3,3983138343,4082088316,6922645147,1.576727489,0.58565808
157,2015/3/31,16892248316,31638208965,441463165.9,1541888799,13023755542,79280295739,7458296135,4649836976,19982888004,99263183743,8396887355,904313301.6,168241095.6,325586263.7,4325346444,30377936233,27632653097,58010589330,7705954050,13152501474,2906218728,40363440680,41252594413,99263183743,2.609798609,0.873824399
157,2015/6/30,16308204620,31578960626,431970968.4,1564576822,13404116941,80763551499,7522795803,4600373243,20024937193,1.01E+11,9002109236,914486805,154655224.5,251655290.6,4527062677,36003112317,23785550883,59788663199,7705954050,13152501474,2906218728,40133241785,40999825493,1.01E+11,2.243238051,0.875956654
157,2015/9/30,15553274622,31056693827,369124421.7,1223340072,14277613345,78926930686,7446269062,4593107127,19199881452,98126812138,8587980649,834217036.9,143449443.7,283749125.5,3726192182,33571617631,24240643012,57812260643,7705954050,13152501474,2906218728,39461495382,40314551494,98126812138,2.351001717,0.880220175
157,2015/12/31,13535350464,29744509324,347197829.8,1410113763,14082903074,74584852183,7800033385,4639934359,19138167824,93723020008,6393055129,778751319.3,197962157.1,358104379.8,3230997839,30182657466,22931257604,53113915069,7664132250,13065494650,2917182179,39936600440,40609104938,93723020008,2.471116146,0.879025084
